incl.,company,address,longitude,latitude,zipcode,town,state,date_founded,date_closed,company_type,source,name_changed,year_name_changed
,Hewlett Packard,1501 Page Mill Rd.,-122.149615,37.413842,94304,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Hewlett Packard,3000 Hanover St.,-122.144814,37.416111,94304,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Hewlett Packard,1601 California Ave.,-122.152583,37.416988,94306,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Hewlett Packard,3495 Deer Creek Rd.,-122.151332,37.396082,94304,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Hewlett Packard,3500 Deer Creek Rd.,-122.151621,37.39617,94304,,California,,,,Rich's Complete Guide to Silicon Valley,,
,HEWLETT PACKARD,11000 WOLFE RD.,-122.014161,37.335921,95014,,California,,,,Rich's Complete Guide to Silicon Valley,,
,HEWLETT PACKARD,19410 HOMESTEAD RD.,-122.011692,37.3377,95014,,California,,,,Rich's Complete Guide to Silicon Valley,,
,HEWLETT PACKARD,19447 PRUNERIDGE AVE.,-122.012036,37.333493,95014,,California,,,,Rich's Complete Guide to Silicon Valley,,
,HEWLETT PACKARD,19310 PRUNERIDGE AVE.,-122.010639,37.332514,95014,,California,,,,Rich's Complete Guide to Silicon Valley,,
,HEWLETT PACKARD,1330 KIFER RD.,-121.977829,37.37412,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,
,HEWLETT PACKARD,350 W. TRIMBLE RD.,-121.933456,37.3833,95134,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Hewlett Packard Parts,333 Logue Ave,-122.07431,37.38802,94042,,California,,,,Rich's Complete Guide to Silicon Valley,,
,HEWLETT PACKARD-DTD,974 E. ARQUES AVE.,-122.004718,37.380738,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
,HEWLETT PACKARD-SMC,3410 CENTRAL EXP.,-121.991543,37.377572,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,
,HEWLETT PACKARD…GENERAL SYSTEMS,5303 STEVENS CREEK BLVD.,-121.996871,37.323076,95050,,California,,,hardware manufacturing,Rich's Complete Guide to Silicon Valley,,
,Hewlett-Packard,"3180 Hanover St, Palo Alto, CA",-122.1464616,37.4141881,,Palo Alto,California,,,hardware manufacturing,,,
,Hewlett-Packard,"640 Page Mill Rd, Palo Alto, CA",-122.1456088,37.4218863,,Palo Alto,California,,,hardware manufacturing,,,
,Hewlett-Packard,"333 Logue Ave, Mountain View, CA",-122.050869351983,37.3950585889097,,Mountain View,California,,,hardware manufacturing,,,
,Hewlett-Packard ,"1501 Page Mill Rd, Palo Alto, CA",-122.147832338048,37.41202695,,Palo Alto,California,,,hardware manufacturing,,,
,Hewlett-Packard ,"3500 Deer Creek Rd, Palo Alto, CA",-122.150143471946,37.3946435,,Palo Alto,California,,,hardware manufacturing,,,
,Hewlett-Packard Co.,"1501 Page Mill Road, Palo Alto, CA",-122.147832338048,37.41202695,,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,
,Hillview Eleanor Plume,"Hillview and Eleanor Intersection, Los Altos, CA",,,,,California,,,,,,
,Hillview-Porter (Watkins Johnson Well) ,"3333 Hillview Dr, Palo Alto, CA",,,,Palo Alto,California,,,,,,
,HOLIDAY INN,282 ALMADEN BLVD.,-121.891513,37.329775,95126,,California,,,,Rich's Complete Guide to Silicon Valley,,
,HOLIDAY INN,282 ALMADEN BLVD.,-121.891513,37.329775,95126,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Honeywell Comm. Div.,1130 Mt. View-Alviso Rd.,-122.023851,37.371042,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
,HOTEL SAINTE CLAIRE,302 S. MARKET ST.,-121.88807,37.330661,95126,,California,,,,Rich's Complete Guide to Silicon Valley,,
,HOTEL SAINTE CLAIRE,302 S. MARKET ST.,-121.88807,37.330661,95126,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Houghton Mifflin Co.,"777 California Avenue, Palo Alto, CA",-122.1430031,37.4285379,,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,
,Hughes Aircraft Co Semiconductor Division,"535 Middlefield Road, Palo Alto, CA",-122.1362592,37.4377862,,Palo Alto,California,,,,,,
,IBM Corp.,1550 Page Mill Rd.,-122.14921,37.414567,94304,,California,,,,Rich's Complete Guide to Silicon Valley,,
,IBM Corp.,1501 California Ave.,-122.151977,37.417686,94306,,California,,,,Rich's Complete Guide to Silicon Valley,,
,IBM Corp.,1299 Orleans Ave.,-122.023851,37.371042,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
,IBM CORP.,50 W. BROKAW RD.,-121.901914,37.338251,95110,,California,,,,Rich's Complete Guide to Silicon Valley,,
,IBM CORP.,40 W. BROKAW RD.,-121.901914,37.338251,95110,,California,,,,Rich's Complete Guide to Silicon Valley,,
,IBM CORP.,6331 SAN IGNACIO AVE.,-121.78142,37.237403,95119,,California,,,,Rich's Complete Guide to Silicon Valley,,
,IBM CORP.,151 MARTINVALE LANE,-121.778458,37.229792,95119,,California,,,,Rich's Complete Guide to Silicon Valley,,
,IBM CORP.,7071 REALM DR.,-121.776471,37.229188,95119,,California,,,,Rich's Complete Guide to Silicon Valley,,
,IBM CORP.,6951 VIA DEL ORO,-121.775542,37.2304,95119,,California,,,,Rich's Complete Guide to Silicon Valley,,
,IBM CORP.,50 W. BROKAW RD.,-121.901914,37.338251,95110,,California,,,,Rich's Complete Guide to Silicon Valley,,
,IBM CORP.,40 W. BROKAW RD.,-121.901914,37.338251,95110,,California,,,,Rich's Complete Guide to Silicon Valley,,
,IBM CORP.,6331 SAN IGNACIO AVE.,-121.78142,37.237403,95119,,California,,,,Rich's Complete Guide to Silicon Valley,,
,IBM CORP.,151 MARTINVALE LANE,-121.778458,37.229792,95119,,California,,,,Rich's Complete Guide to Silicon Valley,,
,IBM CORP.,7071 REALM DR.,-121.776471,37.229188,95119,,California,,,,Rich's Complete Guide to Silicon Valley,,
,IBM CORP.,6951 VIA DEL ORO,-121.775542,37.2304,95119,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Iconix Inc,"945 Industrial, Palo Alto, CA",-122.099004236979,37.423523,,Palo Alto,California,,,,,,
,Informix,,,,,,California,,,software,,,
,INMAC,130 S. WOLFE RD.,-122.012022,37.370447,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
,INMAC,911 McLAUGHLIN AVE.,-121.856571,37.335641,95122,,California,,,,Rich's Complete Guide to Silicon Valley,,
,INMAC,911 McLAUGHLIN AVE.,-121.856571,37.335641,95122,,California,,,,Rich's Complete Guide to Silicon Valley,,
,INTECH INC.,2270 MARTIN AVE.,-121.963425,37.367266,95050,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Intel,"365 E. Middlefield Rd, Mountain View, CA",-122.059598357664,37.3970896642336,,Mountain View,California,,,,,,
,Intel (Aloha),,,,,,Oregon,1974,,chip manufacturing,"Dodds and Wollner, *The Silicon Frontier*, p. 61.",,
,Intel (Santa Clara),,,,,,California,1957,,chip manufacturing,"Dodds and Wollner, *The Silicon Frontier*, p. 59.",,
,INTEL CORP .,3601 JULIETTE LN.,-121.964529,37.384467,95050,,California,,,,Rich's Complete Guide to Silicon Valley,,
,INTEL CORP .,3000 OAKMEAD VILLAGE CT.,-121.980068,37.375961,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Intel Corp.,1302 N. Mathilda Ave.,-122.025061,37.414585,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Intel Corp.,376 Caribbean Dr.,-122.009773,37.415849,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Intel Corp.,1350 Bordeaux Dr.,-122.02164,37.41534,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
,INTEL CORP.,3200 LAKESIDE DR.,-121.984329,37.387412,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,
,INTEL CORP.,3150 CENTRAL EXP.,-121.985442,37.377607,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,
,INTEL CORP.,2880 NORTHWESTERN PKW.,-121.972041,37.373432,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,
,INTEL CORP.,1766 JUNCTION AVE.,-121.906532,37.377319,95112,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Interail (GE),"1276 Hammerwood Ave, Sunnyvale, CA",-121.9904768,37.4063525,,Sunnyvale,California,,,,,,
,Interdesign Inc./Ferranti,1255 Reamwood Ave.,-121.988545,37.405668,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Intersil Inc.,1273 Hammerwood Ave.,-121.990412,37.407927,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
,INTERSIL INC.,3250 SCOTT BLVD.,-121.971968,37.379667,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,
,ISD,3205 CORONADO DR.,-121.974475,37.378558,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,
,ISS SPERRY UNIVAC,10501 N. TANTAU AVE.,-122.005853,37.329832,95014,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Itek Corp,"2626 Hanover Street, Palo Alto, CA",-122.148723833846,37.4176305,,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,
,Jasco Chemical Corp.,1090 Terra Bella Ave  ,-122.075217222222,37.408532,,,California,,,,,,
,Jasco Chemical Corp.,"1710 Villa St, Mountain View, CA",-122.089500411605,37.3980853059665,,Mountain View,California,,,,,,
,Johnson Red Electronics,"3311 Park Blvd, Palo Alto, CA",,,,Palo Alto,California,,,,,,
,Kaiser Aircraft and Electronics Corp,"850 San Antonio Road, Palo Alto, CA",,,,Palo Alto,California,,,electrical manufacturing,,,
,Kaiser Aircraft and Electronics Corp,"850 San Antonio Road, Palo Alto, CA",,,,Palo Alto,California,,,,,,
,KAISER ELECTRONICS,2701 ORCHARD PKWY.,-121.933014,37.38619,95134,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Kane Engineering Laboratories,"845 Commercial, Palo Alto, CA",-122.100622497358,37.422195,,Palo Alto,California,,,,,,
,Kearfott Co Inc,"991 Commercial, Palo Alto, CA",-122.100223411729,37.42496,,Palo Alto,California,,,,,,
,KENNEDY,151 ALBRIGHT WAY,-121.963216,37.2574,95030,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Knapic Electro-Physics Inc,"936 Industrial, Palo Alto, CA",-122.098342010349,37.4232,,Palo Alto,California,,,,,,
,Kollsman Instrument Corp,"800 Welch Road, Palo Alto, CA",-122.177263446286,37.437235,,Palo Alto,California,,,,,,
,KULICKE &. SOFFA IND.,2210 MARTIN AVE .,-121.963426,37.366911,95050,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Lattice International,,,,,,Oregon,1983,,chip manufacturing,,,
,Leach Corp,"814 San Antonio Road, Palo Alto, CA",-122.101438042331,37.4206715,,Palo Alto,California,,,,,,
,Levinthal Electronic Products Indc,"3180 Hanover Street, Palo Alto, CA",-122.1464616,37.4141881,,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,
,Liberty Flight Electronics Corp,"2443 Ash Road, Palo Alto, CA",,,,Palo Alto,California,,,,,,
,Linear Technology,,,,,,California,,,chip manufacturing,,,
,Link Division General Precision Inc,"1451 California Avenue, Palo Alto, CA",-122.151025435808,37.41769545,,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,
,LOCKHEED,PLUMERIA DR. BLDG. 513,-121.92971,37.392179,95134,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Lockheed Aircraft Corporation (Missile & Space Division),"3251 Hanover Street, Palo Alto, CA",-122.142803965978,37.412548,,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,
,Lockheed-Laboratory,3251 Hanover St.,-122.14481,37.411911,94304,,California,,,,Rich's Complete Guide to Silicon Valley,,
,LSI Logic,,,,,,California,,,chip manufacturing,,,
,LYNCH CIRCUITS INC.,41588 W. EVELYN AVE.,-122.052359,37.38557,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
,MACHINE TECHNOLOGY WEST INC.,3350 SCOTT BLVD . #1503,-121.983924,37.380462,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,
,MacNeal-Schwendler,,,,,,California,,,software,,,
,Magnetic Industries Inc,"931 Commercial, Palo Alto, CA",-122.1004541,37.4233959,,Palo Alto,California,,,,,,
,MAGNEX CORP.,6541 VIA DEL ORO,-121.786026,37.236653,95119,,California,,,,Rich's Complete Guide to Silicon Valley,,
,MAGNEX CORP.,6541 VIA DEL ORO,-121.786026,37.236653,95119,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Mandrel Industries Inc,"800 Welch Road, Palo Alto, CA",-122.177263446286,37.437235,,Palo Alto,California,,,,,,
,Mardix ,"2115 El Camino Real, Palo Alto, CA",-122.1714662,37.4467864,,Palo Alto,California,,,,,,
,Marine Electronics,"720 La Para, Palo Alto, CA",-122.1323506,37.4130555,,Palo Alto,California,,,,,,
,Master Wholesale Electronics,"136 Hamilton, Palo Alto, CA",-122.162217503035,37.4430374565938,,Palo Alto,California,,,,,,
,McDonnell Douglas Elect. Corp.,1057 Meadow Circle,-122.109,37.431,94303,,California,,,,Rich's Complete Guide to Silicon Valley,,
,McDonnell Douglas Elect. Corp.,1057 E. Meadow Circle,-122.109471,37.431188,94303,,California,,,,Rich's Complete Guide to Silicon Valley,,
,McGraw-Edison Co,"936 Commercial, Palo Alto, CA",-122.099703912146,37.423457,,Palo Alto,California,,,,,,
,MEGATEST INC.,3940 FREEDOM CIRCLE,-121.97068,37.38597,95054,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Melabs,"3300 Hillview, Palo Alto, CA",-122.145865975574,37.4068925,,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,
,MEMOREX CORP.,18922 FORGE DR.,-122.003261,37.335852,95014,,California,,,,Rich's Complete Guide to Silicon Valley,,
,MEMOREX CORP.,2800 BOWERS AVE.,-121.977402,37.372108,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,
,MEMOREX CORP.,2054 MARTIN AVE,-121.960833,37.366247,95050,,California,,,,Rich's Complete Guide to Silicon Valley,,
,MEMOREX CORP.,1040 DI GULLO AVE.,-121.948812,37.345983,95050,,California,,,,Rich's Complete Guide to Silicon Valley,,
,MEMOREX CORP.,1200 MEMOREX DR. (95052),-121.954093,37.362532,95050,,California,,,,Rich's Complete Guide to Silicon Valley,,
,MEMOREX CORP.,1200 MEMOREX DR. (95052),-121.954093,37.362532,95050,,California,,,,Rich's Complete Guide to Silicon Valley,,
,MEMOREX CORP.,1200 MEMOREX DR . (95052),-121.954093,37.362532,95050,,California,,,,Rich's Complete Guide to Silicon Valley,,
,MEMORY DISC MFG.,4255 BURTON DR.,-121.96275,37.389867,95050,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Mentor Graphics,,,,,,Oregon,1981,,hardware manufacturing,"Dodds and Wollner, *The Silicon Frontier*, p. 66.",,
,Merlin Engineering WOrks,"1880 Embarcadero Road, Palo Alto, CA",,,,Palo Alto,California,,,,Rich's Complete Guide to Silicon Valley,,
,Metheus Corporation,,,,,,Oregon,1981,,software,"Dodds and Wollner, *The Silicon Frontier*, p. 73.",,
,Micro D Inc,,,,,,California,,,software,,,
,Micro Magnetic Industry,"180 Walter Hays, Palo Alto, CA",,,,Palo Alto,California,,,,,,
,MICRO POWER SYSTEMS,3100 ALFRED ST.,-121.958607,37.378248,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Micropolis Corp,,,,,,California,,,hardware manufacturing,,,
,Micropro International Corp,,,,,,California,,,software,,,
,Microsemi,,,,,,California,,,chip manufacturing,,,
,Microsoft,,,,,,Washington,,,software,,,
,Microwave Electronics Corp,"4061 Transport, Palo Alto, CA",-122.098839,37.4250419,,Palo Alto,California,,,,,,
,Moffett Naval Air Station  ,"158 Cody Rd, Mountain View, CA",,,,Mountain View,California,,,,,,
,MONOLITHIC MEMORIES,1165 ARQUES AVE.,-121.997864,37.380498,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
,MONOSIL,975 COMSTOCK ST.,-121.951259,37.37483,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,
,MOORE SYSTEMS INC.,1730 TECHNOLOGY DR.,-121.917374,37.365735,95110,,California,,,,Rich's Complete Guide to Silicon Valley,,
,MOORE SYSTEMS INC.,1730 TECHNOLOGY DR.,-121.917374,37.365735,95110,,California,,,,Rich's Complete Guide to Silicon Valley,,
,MOSTEK CORP.,1762 TECHNOLOGY DR. #126,-121.919839,37.369073,95110,,California,,,,Rich's Complete Guide to Silicon Valley,,
,MOSTEK CORP.,1762 TECHNOLOGY DR. #126,-121.919839,37.369073,95110,,California,,,,Rich's Complete Guide to Silicon Valley,,
,MOTHER LODE,155 MILLER AVE.,-122.013349,37.31422,95014,,California,,,,Rich's Complete Guide to Silicon Valley,,
,N.C.A. CORP.,1263 OAKMEAD PARKWAY,-121.991082,37.386878,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
,National Advanced Systems,140 Caribbean Dr.,-122.017877,37.417186,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
,NATIONAL CSS INC.,1333 LAWRENCE EXP. #350,-121.995899,37.349318,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,
,National Research Corporation,"941 Charleston Road, Palo Alto, CA",,,,Palo Alto,California,,,,,,
,National Semiconductor Corp.,675 ALMANOR AVE .,-122.032891,37.397703,94086,,California,,,chip manufacturing,Rich's Complete Guide to Silicon Valley,,
,National Semiconductor Corp.,1125 KIFER RD .,-121.999847,37.373904,94086,,California,,,chip manufacturing,Rich's Complete Guide to Silicon Valley,,
,National Semiconductor Corp.,1177 KERN AVE .,-121.997594,37.382591,94086,,California,,,chip manufacturing,Rich's Complete Guide to Silicon Valley,,
,National Semiconductor Corp.,1050 DUANE AVE.,-121.952363,37.378557,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
,National Semiconductor Corp.,,,,,,California,,,chip manufacturing,,,
,National Semiconductor Corp.,"201 Town & Country Village, Palo Alto, CA",1.8774979,7.7227067,,,California,,,,,,
,NEC Electronics,"501 Ellis St, Mountain View, CA",-122.051983055367,37.4011407785331,,Mountain View,California,,,,,,
,Nickerson-Gray & Associates Inc,"2434 Park Blvd, Palo Alto, CA",,,,Palo Alto,California,,,,,,
,NORTHERN TELECOM INC.,2305 MISSION COLLEGE BLV.,-121.935679,37.34357,95050,,California,,,,Rich's Complete Guide to Silicon Valley,,
,NORTHERN TELECOM INC.,4101 BURTON DR.,-121.961979,37.391322,95050,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Osborne Electronics Sales Corp,"535 Middlefield Road, Palo Alto, CA",-122.1362592,37.4377862,,Palo Alto,California,,,,,,
,Pacific Electro-Magnetic Co,"940 Commercial, Palo Alto, CA",-122.0997117,37.4235725,,Palo Alto,,,,,,,
,Pacific International Electronics Inc,"535 Ramona, Palo Alto, CA",-122.1615312,37.4449789,,Palo Alto,,,,,,,
,Palo Alto Engineering Co,"620 Page Mill Road, Palo Alto, CA",-122.1453646,37.4221802,,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,
,Palomar Scientific Corp,"4039 Transport, Palo Alto, CA",-122.0994887,37.4256912,,Palo Alto,,,,,,,
,Pearson Electronics Inc,"707 Urban, Palo Alto, CA",-122.161649106516,37.4411033472099,,Palo Alto,,,,,,,
,Pek Labs,"4024 Transport, Palo Alto, CA",-122.1004421,37.4255328,,Palo Alto,,,,,,,
,Peninsula Electronic Supply,"3860 El Camino Real, Palo Alto, CA",-122.1714662,37.4467864,,Palo Alto,,,,,,,
,Perkin-Elmer,2288 Charleston Rd.,-122.095233,37.421481,94043,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Perkin-Elmer,411 Clyde Ave,-122.047161,37.396365,94043,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Perlmuth Electronic Associates,"941 Charleston Road, Palo Alto, CA",,,,Palo Alto,,,,,,,
,Philco Corp,"3875 Fabian Way, Palo Alto, CA",-122.102457572274,37.4256845,,Palo Alto,,,,,,,
,Pic. Tel. & Tel. Co.,"850 Hansen Way, Palo Alto, CA",-122.14065763713,37.41860795,,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,
,Planar Systems,,,,,,Oregon,1983,,hardware manufacturing,"Dodds and Wollner, *The Silicon Frontier*, p. 71.",,
,PLATEAU 7,777 N. 1 ST ST.,-121.884247,37.324059,95126,,California,,,,Rich's Complete Guide to Silicon Valley,,
,POLY MOLD TOOL & ENGR.,193 COMMERCIAL ST.,-122.008472,37.376027,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Ponisteff Office Building,"SW Corner Hanover & California Avenue, Palo Alto, CA",,,,Palo Alto,California,,,non-industrial,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,
,Power Designs Pacifics Inc.,3381 Miranda Ave.,-122.146485,37.404744,94304,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Preformed Line Products,"600 Hansen Way, Palo Alto, CA",-122.139436074612,37.4201235,,Palo Alto,,,,electrical manufacturing,Rich's Complete Guide to Silicon Valley,,
,Preformed Line Products Co,"600 Hansen Way, Palo Alto, CA",-122.139436074612,37.4201235,,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,
,PRINTEX CORP.,2501 WALSH AVE.,-121.973723,37.371288,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,
,PURPLE HEARTS VETERANS REHAB.,735 COLEMAN AVE.(95110),-121.91185,37.343191,95110,,California,,,,Rich's Complete Guide to Silicon Valley,,
,PURPLE HEARTS VETERANS REHAB.,735 COLEMAN AVE.(95110),-121.91185,37.343191,95110,,California,,,,Rich's Complete Guide to Silicon Valley,,
,R S Electronic Corp,"435 Portage Ave, Palo Alto, CA",-122.137390733413,37.421843,,Palo Alto,,,,,,,
,RACAL-VADIC INC.,785 N. MARY AVE .,-122.035577,37.397359,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
,RAPICOM,3001 ORCHARD PKWY.,-121.937463,37.392214,95134,,California,,,,Rich's Complete Guide to Silicon Valley,,
,RAPICOM INC.,2972 STENDER SY.,-121.983486,37.346526,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,
,RAYTEK INC.,1201 SHAFFER RD.,-121.982566,37.230053,95030,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Raytheon,350 Ellis St.,-122.07431,37.38802,94042,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Raytheon,415 E. Middlefield Rd.,-122.056092,37.396411,94043,,California,,,,Rich's Complete Guide to Silicon Valley,,
,RAYTHEON,2540 MISSION COLLEGE BLV.,-121.935679,37.34357,95050,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Raytheon Co.,"350 Ellis St, Mountain View, CA",-122.05345359047,37.397094409359,,Mountain View,California,,,,,,
,RGM Sys.,1250 Borregas Ave.,-122.018874,37.40903,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
,RICOH OF AMERICA,2972 STENDER WY.,-121.97018,37.376405,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,
,ROLM CORP.,1 RIVER OAKS PLACE,-121.941346,37.401171,95134,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Romic Chemical Corp.,"2081 Bay Rd, Palo Alto, CA",,,,Palo Alto,California,,,,,,
,S.R.D. LABS INC.,381 McGLINCEY LANE,-121.942492,37.276481,95008,,California,,,,Rich's Complete Guide to Silicon Valley,,
,SANDPIPER,21255 STEVENS CREEK BLVD,-122.046197,37.322948,95014,,California,,,,Rich's Complete Guide to Silicon Valley,,
,"Scott, Foresman & Co.","655 California Ave, Palo Alto, CA",-122.1430031,37.4285379,,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,
,Seagate Technology,,,,,,California,,,hardware manufacturing,,,
,Seiko Circuits Inc.,415 Clyde Ave,-122.047132,37.39645,94043,,California,,,,Rich's Complete Guide to Silicon Valley,,
,SEIKO CIRCUITS INC.,415 CLYDE AVE .,-122.047132,37.39645,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Shigma Inc.,1400 Stierlin Rd.,-122.078119,37.40955,94043,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Shockley Transistor,"1117 California Ave, Palo Alto, CA",-122.149023672821,37.42035945,,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,
,SIERRACIN,3010 OLCOTT ST.,-121.96733,37.376503,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,
,SIGNETICS CORP.,305 N. MATHILDA AVE.,-122.031798,37.385089,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
,SIGNETICS CORP.,450 N. WOLFE RD.,-122.013567,37.383525,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
,SIGNETICS CORP.,860 KIFER RD.,-122.010624,37.374593,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
,SIGNETICS CORP.,830 STEWART DR.,-122.010732,37.383979,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
,SIGNETICS CORP.,897 DE GUIGNE DR.,-122.007161,37.385487,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
,SIGNETICS CORP.,897 STEWART DR.,-122.006398,37.383951,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
,SIGNETICS CORP.,730 E. EVELYN AVE.,-122.016596,37.371681,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
,SIGNETICS CORP.,1380 KIFER RD.,-121.977829,37.37412,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,
,SIGNETICS CORP.,3600 PETERSON WY.,-121.98415,37.38575,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,
,SIGNETICS CORP.,2251 LAWSON LN.,-121.963634,37.37603,95050,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Silectro Co,"4043 Transport, Palo Alto, CA",-122.0993679,37.4255394,,Palo Alto,,,,,,,
,Silicon Systems,,,,,,California,,,chip manufacturing,,,
,Siltec,"405 National Ave, Mountain View, CA",-122.0540173,37.4023661,,Mountain View,California,,,,,,
,Siltec Corp.,405 National Ave.,-122.052194,37.40109,94043,,California,,,,Rich's Complete Guide to Silicon Valley,,
,SINGER CO. / LINK DIV.,1077 E . ARQUES AVE.,-122.002266,37.380513,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
,SNOWDEN-PENSER/PARK DAVIS CO.,1587 DELL AVE.,-121.956695,37.263754,95008,,California,,,,Rich's Complete Guide to Silicon Valley,,
,Softsel Computer Products,,,,,,California,,,distribution,,,
,Software Publishing,,,,,,California,,,software,,,
,Solectron Corp.,1286 Lawrence Stat. Rd.,-121.996054,37.367105,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,
