company,address,longitude,latitude,latlong,longlat,zipcode,town,state,date_founded,date_closed,company_type,source,name_changed,year_name_changed,notes,see also
Leach Corp,"814 San Antonio Rd, Palo Alto, CA",-122.101438,37.4206715,"-122.101438042331, 37.4206715","37.4206715, -122.101438042331",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Ling-Temco-Vought Inc,"701 Welch Rd, Palo Alto, CA",-122.172683,37.436904,"-122.172683, 37.436904","37.436904, -122.172683",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Melabs Inc,"3210 Porter Dr, Palo Alto, CA",-122.1473189,37.40739545,"-122.147318949469, 37.40739545","37.40739545, -122.147318949469",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Microfab Systems Corp,"3960 Fabian Way, Palo Alto, CA",-122.1046995,37.423117,"-122.104699526102, 37.423117","37.423117, -122.104699526102",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Microwave Electronics Corp,"3165 Porter Dr, Palo Alto, CA",-122.1498549,37.40866645,"-122.14985490364, 37.40866645","37.40866645, -122.14985490364",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Milliron Fellows & Co,"849 E. Charleston Rd, Palo Alto, CA",-122.1035253,37.4222385,"-122.103525262987, 37.4222385","37.4222385, -122.103525262987",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1967",,,,
Motorola Inc (military electronics),"701 Welch Rd, Palo Alto, CA",-122.172683,37.436904,"-122.172683, 37.436904","37.436904, -122.172683",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Motorola International,"701 Welch Road, Palo Alto, CA",-122.172683,37.436904,"-122.172683, 37.436904","37.436904, -122.172683",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
MVR Corp,"470 San Antonio Rd, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
National Electronics Inc,"201 Town & Country Village, Palo Alto, CA",1.8774979,7.7227067,"1.8774979, 7.7227067","7.7227067, 1.8774979",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Neely Sales Division Hewlett Packard,"1101 Embarcadero Rd, Palo Alto, CA",-122.1553182,37.4385359,"-122.1553182, 37.4385359","37.4385359, -122.1553182",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Neely Sales Division Hewlett Packard,"1101 Embarcadero Rd, Palo Alto, CA",-122.1553182,37.4385359,"-122.1553182, 37.4385359","37.4385359, -122.1553182",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Ness Pacific Inc,"470 San Antonio Rd, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Nickerson-Gray & Associates Inc,"2434 Park Blvd, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Northrup Nortronics Corp,"2555 Park Blvd, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Nytron Inc,"795 San Antonio Rd, Palo Alto, CA",-122.1023426,37.41990495,"-122.102342617317, 37.41990495","37.41990495, -122.102342617317",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Pacific Communications & Electronics ,"3941 E. Bayshore Rd, Palo Alto, CA",-122.1029232,37.4305832,"-122.1029232, 37.4305832","37.4305832, -122.1029232",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Pacific Electro Magnetic Co Inc,"942 Commercial St, Palo Alto, CA",-122.0998415,37.42424708,"-122.099841533186, 37.424247078454","37.424247078454, -122.099841533186",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Pacific Electro Magnetic Co Inc,"942 Commercial St, Palo Alto, CA",-122.0998415,37.42424708,"-122.099841533186, 37.424247078454","37.424247078454, -122.099841533186",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Pacific International Electronics Inc (OFC),"535 Ramona St, Palo Alto, CA",-122.1615312,37.4449789,"-122.1615312, 37.4449789","37.4449789, -122.1615312",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Pacific Measurements Inc,"940 Industrial Ave, Palo Alto, CA",-122.0983205,37.423363,"-122.098320496232, 37.423363","37.423363, -122.098320496232",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Pearson Electronics Inc,"4007 Transport St, Palo Alto, CA",-122.1000213,37.4261795,"-122.100021263815, 37.4261795","37.4261795, -122.100021263815",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Pearson Electronics Inc,"4007 Transport St, Palo Alto, CA",-122.1000213,37.4261795,"-122.100021263815, 37.4261795","37.4261795, -122.100021263815",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Pencor Electronics ,"410 Sherman Ave, Palo Alto, CA",-122.1440817,37.4259473,"-122.1440817, 37.4259473","37.4259473, -122.1440817",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Peninsula Associates,"1447 E. Bayshore Rd, Palo Alto, CA",-122.1100708,37.4369821,"-122.1100708, 37.4369821","37.4369821, -122.1100708",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Peninsula Associates,"1447 E. Bayshore Rd, East Palo Alto, CA",-122.14606,37.463986,"-122.14606, 37.463986","37.463986, -122.14606",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Philco Corp (Government Industrial Division),"1875 Fabian Way, Palo Alto, CA",-122.1042399,37.4258394,"-122.1042399, 37.4258394","37.4258394, -122.1042399",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Philco Corp (Tech Rep Div) ,"1070 E. Meadow Circle, Palo Alto, CA",-122.1093445,37.42973265,"-122.109344502738, 37.42973265","37.42973265, -122.109344502738",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Philco Corp (Western Development Laboratories),"3825 Fabian Way, Palo Alto, CA",-122.1037805,37.427627,"-122.103780506998, 37.427627","37.427627, -122.103780506998",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Philco Corp (Western Development Laby),"1076 E. Meadow Circle, Palo Alto, CA",-122.1088231,37.42934235,"-122.108823101444, 37.42934235","37.42934235, -122.108823101444",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Philco Ford Corp (Electronics Group),"3939 Fabian Way, Palo Alto, CA",-122.1040932,37.42567674,"-122.10409318, 37.42567674","37.42567674, -122.10409318",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Power Designs Pacific Inc,"3381 Foothill Expressway, Palo Alto, CA",-122.1463233,37.40443222,"-122.146323264475, 37.4044322184213","37.4044322184213, -122.146323264475",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Power Designs Pacific Inc,"3381 Miranda Ave, Palo Alto, CA",-122.1453535,37.40459372,"-122.145353484495, 37.4045937164908","37.4045937164908, -122.145353484495",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Preformed Line Products Co,"600 Hansen Way, Palo Alto, CA",-122.1394361,37.4201235,"-122.139436074612, 37.4201235","37.4201235, -122.139436074612",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Prentice Electronics Corp,"795 San Antonio Rd, Palo Alto, CA",-122.1023426,37.41990495,"-122.102342617317, 37.41990495","37.41990495, -122.102342617317",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Pursley David I,"701 Welch Road, Palo Alto, CA",-122.172683,37.436904,"-122.172683, 37.436904","37.436904, -122.172683",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Ramlor Inc,"925 Industrial Ave, Palo Alto, CA",-122.0985383,37.42320008,"-122.098538272839, 37.4232000767394","37.4232000767394, -122.098538272839",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Rayex Electronics Corp,"1015 Corporation Way, Palo Alto, CA",-122.1028185,37.4313255,"-122.1028185, 37.4313255","37.4313255, -122.1028185",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
RDP Instruments Co,"999 Commercial St, Palo Alto, CA",-122.0999304,37.425297,"-122.099930378289, 37.425297","37.425297, -122.099930378289",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Reliability Research & Technology ,"960 San Antonio Road, Palo Alto, CA",-122.1012263,37.4255222,"-122.101226289453, 37.4255222022728","37.4255222022728, -122.101226289453",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Reynolds Electronic Inc,"1915 University Ave, East Palo Alto, CA",-122.1408051,37.4593559,"-122.1408051, 37.4593559","37.4593559, -122.1408051",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
RF Associates,"800 San Antonio Rd, Palo Alto, CA",-122.1015364,37.4202915,"-122.1015364, 37.4202915","37.4202915, -122.1015364",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
RF Associates Inc,"800 San Antonio Road, Palo Alto, CA",-122.1015146,37.4202223,"-122.1015146, 37.4202223","37.4202223, -122.1015146",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Sanders Associates Inc,"1121 San Antonio Road, Palo Alto, CA",-122.10374,37.4156375,"-122.10374, 37.4156375","37.4156375, -122.10374",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Sangamo Electronic Co (Dist SLS OFC),"1020 Corporation Way, Palo Alto, CA",-122.1018012,37.4315865,"-122.101801216155, 37.4315865","37.4315865, -122.101801216155",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Schjeldahl GT CO,"460 Ferne Ave, Palo Alto, CA",-122.1064588,37.41398895,"-122.106458776184, 37.41398895","37.41398895, -122.106458776184",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Science Research Associates,"165 University Ave, Palo Alto, CA",-122.163336,37.44454495,"-122.163336014728, 37.44454495","37.44454495, -122.163336014728",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Semtech Corp,"941 E. Charleston Road, Palo Alto, CA",-122.1012359,37.42174498,"-122.101235912543, 37.4217449826179","37.4217449826179, -122.101235912543",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Shane Industries,"904 Industrial Ave, Palo Alto, CA",-122.0984427,37.42218,"-122.098442695271, 37.42218","37.42218, -122.098442695271",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Singer Co,"3176 Porter Dr, Palo Alto, CA",-122.1493621,37.4070955,"-122.149362060561, 37.4070955","37.4070955, -122.149362060561",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Singer-General Precision Inc,"999 Commercial St, Palo Alto, CA",-122.0999304,37.425297,"-122.099930378289, 37.425297","37.425297, -122.099930378289",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Snitzer T. Louis Co,"1020 Corporation Way, Palo Alto, CA",-122.1018012,37.4315865,"-122.101801216155, 37.4315865","37.4315865, -122.101801216155",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Special Products Inc,"808 San Antonio Rd, Palo Alto, CA",-122.1017652,37.4276246,"-122.1017652, 37.4276246","37.4276246, -122.1017652",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Special Products Inc,"808 San Antonio Rd, Palo Alto, CA",-122.1017652,37.4276246,"-122.1017652, 37.4276246","37.4276246, -122.1017652",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Stanford Electric Works,"301 High St, Palo Alto, CA",-122.1656274,37.4456649,"-122.1656274, 37.4456649","37.4456649, -122.1656274",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1967",,,,
Stigall Motors Inc,"3017 El Camino Real, Palo Alto, CA",-122.1395367,37.42217745,"-122.13953668273, 37.42217745","37.42217745, -122.13953668273",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Swiss-Craft,"291 Lambert Ave, Palo Alto, CA",-122.134975,37.4228171,"-122.134975, 37.4228171","37.4228171, -122.134975",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Synvar Associates,"3221 Porter Dr, Palo Alto, CA",-122.1483598,37.4083635,"-122.148359776056, 37.4083635","37.4083635, -122.148359776056",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Tab Products Co (Mach Div),"937 Commercial St, Palo Alto, CA",-122.1003685,37.42367695,"-122.100368461542, 37.42367695","37.42367695, -122.100368461542",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Texas Instruments Inc,"230 California Ave, Palo Alto, CA",-122.1405867,37.43128134,"-122.140586735818, 37.4312813357953","37.4312813357953, -122.140586735818",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Textronix Inc,"3944 Fabian Way, Palo Alto, CA",-122.1043136,37.42783584,"-122.104313554784, 37.4278358423835","37.4278358423835, -122.104313554784",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Trans Dynamics Inc,"44 Encina Ave, Palo Alto, CA",-122.1604839,37.43907818,"-122.160483898864, 37.4390781818944","37.4390781818944, -122.160483898864",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Trivision Inc,"2411 Pulgas Ave, East Palo Alto, CA",-122.1305797,37.47049971,"-122.130579700038, 37.4704997059495","37.4704997059495, -122.130579700038",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
United Control Corp,"3921 E Bayshore Ave, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Varian Associates,"611 Hansen Way, Palo Alto, CA",-122.1383403,37.418411,"-122.138340315085, 37.418411","37.418411, -122.138340315085",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Vector Industries Inc,"821 San Antonio Rd, Palo Alto, CA",-122.1017652,37.4276246,"-122.1017652, 37.4276246","37.4276246, -122.1017652",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Veeco Instrument Co,"210 California Ave, Palo Alto, CA",-122.1407301,37.43110223,"-122.14073014505, 37.4311022305791","37.4311022305791, -122.14073014505",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Warner Electric,"644 Emerson St, Palo Alto, CA",-122.1609978,37.44346391,"-122.160997824081, 37.4434639110779","37.4434639110779, -122.160997824081",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1967",,,,
Watkins Johnson Co,"3333 Hillview Avenue, Palo Alto, CA",-122.145157,37.407483,"-122.145157, 37.407483","37.407483, -122.145157",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Weatherford RV Co (Branch Office),"3240 Hillview Ave, Palo Alto, CA",-122.1462118,37.407948,"-122.146211768833, 37.407948","37.407948, -122.146211768833",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Welco Inc,"502 Waverly St, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Westec Electronics Inc,"4117 El Camino Way, Palo Alto, CA",-122.1251291,37.4144824,"-122.1251291, 37.4144824","37.4144824, -122.1251291",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Wiltron Co,"930 E. Meadow Dr, Palo Alto, CA",-122.1077514,37.42791969,"-122.107751371832, 37.4279196919526","37.4279196919526, -122.107751371832",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Wolf Research & Development,"999 Commercial St, Palo Alto, CA",-122.0999304,37.425297,"-122.099930378289, 37.425297","37.425297, -122.099930378289",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Zack Electronics,"654 High St, Palo Alto, CA",-122.1615739,37.44265031,"-122.161573890049, 37.4426503112393","37.4426503112393, -122.161573890049",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
A-1 Electronics ,"1431 Foxworthy, San Jose, CA",-121.8922832,37.2748946,"-121.892283157078, 37.2748946039757","37.2748946039757, -121.892283157078",,San Jose,California,,,manufacturing,1964 San Jose City Directory,,,,
A.M. INTL. INC.,1900 DUANE AVE.,-121.959755,37.380483,"-121.959755, 37.380483","37.380483, -121.959755",95051,Santa Clara,California,,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Advance Transformer Co,"303 Portage Ave, Palo Alto, CA",-122.1379573,37.4217382,"-122.1379573, 37.4217382","37.4217382, -122.1379573",,Palo Alto,California,,,manufacturing,"Palo Alto Directory, 1956",,,,
Advanced Devices Laboratories Inc,"701 Kings Row, San Jose, CA",-121.8995607,37.37177815,"-121.899560663601, 37.3717781462156","37.3717781462156, -121.899560663601",,San Jose,California,,,manufacturing,1969 San Jose City Directory,,,,
Advanced Micro Devices Inc.,3340 SCOTT BLVD.,-121.981914,37.380387,"-121.981914, 37.380387","37.380387, -121.981914",95051,Santa Clara,California,,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Advanced Transformer Co,"303 Portage Ave, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,manufacturing,Palo Alto City Directory 1956,,,,
Albion Computer Services,"4250 Williams Road, San Jose, CA",-121.9785401,37.30813493,"-121.978540090685, 37.3081349253969","37.3081349253969, -121.978540090685",,San Jose,California,,,manufacturing,1976 San Jose City Directory,,,,
Ampex Corp.,814 SAN ALESO DR.,-122.023851,37.371042,"-122.023851, 37.371042","37.371042, -122.023851",94086,Sunnyvale,California,,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Ampex Corp.,465 W. MAUDE AVE.,-122.03144,37.389991,"-122.03144, 37.389991","37.389991, -122.03144",94086,Sunnyvale,California,,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Ampex Corp.,728 SAN ALESO AVE .,-122.026872,37.396359,"-122.026872, 37.396359","37.396359, -122.026872",94086,Sunnyvale,California,,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Ampex Corp.,10435 N. TANTAU AVE.,-122.005863,37.328925,"-122.005863, 37.328925","37.328925, -122.005863",95014,Cupertino,California,,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Ampex Corp.,"301 Town and Country Village, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,manufacturing,,,,,
Amseo Electronics,"4007 Transport, Palo Alto, CA",-122.1000213,37.4261795,"-122.100021263815, 37.4261795","37.4261795, -122.100021263815",,Palo Alto,California,,,manufacturing,,,,,
Anthem Electronics,,,,", ",", ",,,California,,,manufacturing,,,,,
Applied Magnetics,,,,", ",", ",,,California,,,manufacturing,,,,,
ARTELONICS,2952 BUNKER HILL LN.,-121.980423,37.405685,"-121.980423, 37.405685","37.405685, -121.980423",95014,Cupertino,California,,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
ARTRONIK CIRCUITS INC.,2750 SCOTT BLVD .,-121.959533,37.369921,"-121.959533, 37.369921","37.369921, -121.959533",95050,Santa Clara,California,,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Associated Radio Distributors,"459 California Ave, Palo Alto, CA",-122.1452046,37.4256122,"-122.1452046, 37.4256122","37.4256122, -122.1452046",,Palo Alto,California,,,manufacturing,,,,,
AST Research,,,,", ",", ",,,California,,,manufacturing,,,,,
Avnet Electronics Corp,"1262 N. Lawrence Station Road, Sunnyvale, CA",,,", ",", ",,Sunnyvale,California,,,manufacturing,1964 Sunnyvale City Directory,,,,
Bendal Research and Manufacturing,"1701 Rogers Ave, San Jose, CA",-121.9096069,37.37689766,"-121.909606930661, 37.3768976569411","37.3768976569411, -121.909606930661",,San Jose,California,,,manufacturing,1971 San Jose City Directory,,,,
BERG ELECTRONICS,3375 SCOTT BLVD. #208,-121.984714,37.380594,"-121.984714, 37.380594","37.380594, -121.984714",95051,Santa Clara,California,,1998,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Chips and Technologies,,,,", ",", ",,,California,,,manufacturing,,,,,
Conner Peripherals,,,,", ",", ",,,California,,,manufacturing,,,,,
Cypress Semiconductor,,,,", ",", ",,,California,,,manufacturing,,,,,
Develco Inc,"2905 Ash St, Palo Alto, CA",-122.139552,37.42397383,"-122.139551959129, 37.4239738327247","37.4239738327247, -122.139551959129",,Palo Alto,California,,,manufacturing,"Palo Alto Directory, 1967",,,,
Everex Systems,,,,", ",", ",,,California,,,manufacturing,,,,,
Ferro-Magnetics,"989 Commercial, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,manufacturing,,,,,
Fujitsu,,,,", ",", ",,,Oregon,,,manufacturing,,,,,
General Electric Ordnance Department,"2443 Ash Rim, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,manufacturing,,,,,
Genisco Technology Inc,"378 Cambridge Ave, Palo Alto, CA",-122.1455955,37.4274661,"-122.145595477577, 37.4274661","37.4274661, -122.145595477577",,Palo Alto,California,,,manufacturing,"Palo Alto Directory, 1967",,,,
HEWLETT PACKARD…GENERAL SYSTEMS,5303 STEVENS CREEK BLVD.,-121.996871,37.323076,"-121.996871, 37.323076","37.323076, -121.996871",95050,Santa Clara,California,,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Hewlett-Packard,"333 Logue Ave, Mountain View, CA",-122.0508694,37.39505859,"-122.050869351983, 37.3950585889097","37.3950585889097, -122.050869351983",,Mountain View,California,,,manufacturing,,,,,
Hewlett-Packard,"3180 Hanover St, Palo Alto, CA",-122.1464616,37.4141881,"-122.1464616, 37.4141881","37.4141881, -122.1464616",,Palo Alto,California,,,manufacturing,,,,,
Hewlett-Packard,"640 Page Mill Rd, Palo Alto, CA",-122.1456088,37.4218863,"-122.1456088, 37.4218863","37.4218863, -122.1456088",,Palo Alto,California,,,manufacturing,,,,,
Hewlett-Packard ,"3500 Deer Creek Rd, Palo Alto, CA",-122.1501435,37.3946435,"-122.150143471946, 37.3946435","37.3946435, -122.150143471946",,Palo Alto,California,,,manufacturing,,,,,
Hewlett-Packard ,"1501 Page Mill Rd, Palo Alto, CA",-122.1478323,37.41202695,"-122.147832338048, 37.41202695","37.41202695, -122.147832338048",,Palo Alto,California,,,manufacturing,,,,,
ITT Cannon Electric Co (Disc Sls Ofc),"960 San Antonio Rd, Palo Alto, CA",-122.1012263,37.4255222,"-122.101226289453, 37.4255222022728","37.4255222022728, -122.101226289453",,Palo Alto,California,,,manufacturing,"Palo Alto Directory, 1967",,,,
ITT Cannon Electric Co (Disc Sls Ofc),"960 San Antonio Road, Palo Alto, CA",-122.1012263,37.4255222,"-122.101226289453, 37.4255222022728","37.4255222022728, -122.101226289453",,Palo Alto,California,,,manufacturing,"Palo Alto Directory, 1956",,,,
Kaiser Aircraft and Electronics Corp,"850 San Antonio Road, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,manufacturing,,,,,
Linear Technology,,,,", ",", ",,,California,,,manufacturing,,,,,
LSI Logic,,,,", ",", ",,,California,,,manufacturing,,,,,
Macronetics Inc,"220 California Ave, Palo Alto, CA",-122.140659,37.4311922,"-122.14065896175, 37.4311921984257","37.4311921984257, -122.14065896175",,Palo Alto,California,,,manufacturing,"Palo Alto Directory, 1956",,,,
Micropolis Corp,,,,", ",", ",,,California,,,manufacturing,,,,,
Microsemi,,,,", ",", ",,,California,,,manufacturing,,,,,
National Semiconductor Corp.,1125 KIFER RD .,-121.999847,37.373904,"-121.999847, 37.373904","37.373904, -121.999847",94086,Sunnyvale,California,,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
National Semiconductor Corp.,1177 KERN AVE .,-121.997594,37.382591,"-121.997594, 37.382591","37.382591, -121.997594",94086,Sunnyvale,California,,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
National Semiconductor Corp.,675 ALMANOR AVE .,-122.032891,37.397703,"-122.032891, 37.397703","37.397703, -122.032891",94086,Sunnyvale,California,,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
National Semiconductor Corp.,,,,", ",", ",,,California,,,manufacturing,,,,,
Preformed Line Products,"600 Hansen Way, Palo Alto, CA",-122.1394361,37.4201235,"-122.139436074612, 37.4201235","37.4201235, -122.139436074612",,Palo Alto,California,,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Preformed Line Products Co,"600 Hansen Way, Palo Alto, CA",-122.1394361,37.4201235,"-122.139436074612, 37.4201235","37.4201235, -122.139436074612",,Palo Alto,California,,,manufacturing,"Palo Alto Directory, 1967",,,,
Preformed Line Products Co,"600 Hansen Way, Palo Alto, CA",-122.1394361,37.4201235,"-122.139436074612, 37.4201235","37.4201235, -122.139436074612",,Palo Alto,California,,,manufacturing,"Palo Alto Directory, 1956",,,,
Seagate Technology,,,,", ",", ",,,California,,,manufacturing,,,,,
Signal Products Co,"165 University Ave, Palo Alto, CA",-122.163336,37.44454495,"-122.163336014728, 37.44454495","37.44454495, -122.163336014728",,Palo Alto,California,,,manufacturing,"Palo Alto Directory, 1967",,,,
Silicon Systems,,,,", ",", ",,,California,,,manufacturing,,,,,
Sleep Research Laboratory,"3801 Junipero Serra Blvd, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,manufacturing,"Palo Alto Directory, 1970",,,,
Sondell Research Co,"931 Commercial St, Palo Alto, CA",-122.1004541,37.4233959,"-122.1004541, 37.4233959","37.4233959, -122.1004541",,Palo Alto,California,,,manufacturing,"Palo Alto Directory, 1970",,,,
Stanford Research Institute (Hanover Br),"2690 Hanover St, Palo Alto, CA",-122.1479537,37.41725545,"-122.147953710519, 37.41725545","37.41725545, -122.147953710519",,Palo Alto,California,,,manufacturing,"Palo Alto Directory, 1970",,,,
Stanford Research Institute (PCRTER Facility),"3180 Porter Dr, Palo Alto, CA",-122.1486204,37.4071495,"-122.14862038503, 37.4071495","37.4071495, -122.14862038503",,Palo Alto,California,,,manufacturing,"Palo Alto Directory, 1970",,,,
Tandem Computers Inc.,1366 SANTA ANA CT.,-122.023851,37.371042,"-122.023851, 37.371042","37.371042, -122.023851",94086,Sunnyvale,California,,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Tandem Computers Inc.,245 SANTA ANA CT.,-122.010541,37.379708,"-122.010541, 37.379708","37.379708, -122.010541",94086,Sunnyvale,California,,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Tandem Computers Inc.,10300 TANTAU AVE.,-122.006288,37.326166,"-122.006288, 37.326166","37.326166, -122.006288",95014,Cupertino,California,,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
